AllocCPUS%|%AllocNodes%|%CPUTimeRAW%|%End%|%ExitCode%|%Flags%|%Group%|%JobID%|%JobName%|%NCPUS%|%NNodes%|%NodeList%|%NTasks%|%Partition%|%ReqCPUS%|%ReqMem%|%ReqNodes%|%Start%|%State%|%Submit%|%SystemCPU%|%TimelimitRaw%|%TotalCPU%|%UserCPU%|%
144%|%0%|%0%|%2024-08-25T22:45:57%|%0:0%|%StartRecieved%|%example%|%100777%|%job-ARM%|%144%|%1%|%None assigned%|%%|%arm144%|%144%|%223776M%|%0.00M%|%None%|%CANCELLED by 12787%|%2024-08-25T22:44:03%|%00:00:00%|%Partition_Limit%|%00:00:00%|%00:00:00%|%
144%|%0%|%0%|%2024-08-25T22:45:47%|%0:0%|%StartRecieved%|%example%|%100778%|%job-ARM%|%144%|%1%|%None assigned%|%%|%arm144%|%144%|%223776M%|%0.00M%|%None%|%CANCELLED by 12787%|%2024-08-25T22:44:05%|%00:00:00%|%Partition_Limit%|%00:00:00%|%00:00:00%|%
448%|%0%|%0%|%2024-08-26T04:36:19%|%0:0%|%StartRecieved%|%example%|%100779%|%sbatch%|%448%|%4%|%None assigned%|%%|%ct448%|%448%|%1929984M%|%0.00M%|%None%|%CANCELLED by 18362%|%2024-08-25T22:44:22%|%00:00:00%|%Partition_Limit%|%00:00:00%|%00:00:00%|%
448%|%0%|%0%|%2024-08-26T04:36:21%|%0:0%|%StartRecieved%|%example%|%100780%|%sbatch%|%448%|%4%|%None assigned%|%%|%ct448%|%448%|%1929984M%|%0.00M%|%None%|%CANCELLED by 18362%|%2024-08-25T22:44:28%|%00:00:00%|%Partition_Limit%|%00:00:00%|%00:00:00%|%
448%|%0%|%0%|%2024-08-26T04:36:23%|%0:0%|%StartRecieved%|%example%|%100781%|%sbatch%|%448%|%4%|%None assigned%|%%|%ct448%|%448%|%1929984M%|%0.00M%|%None%|%CANCELLED by 18362%|%2024-08-25T22:44:32%|%00:00:00%|%Partition_Limit%|%00:00:00%|%00:00:00%|%
448%|%0%|%0%|%2024-08-26T04:36:24%|%0:0%|%StartRecieved%|%example%|%100782%|%sbatch%|%448%|%4%|%None assigned%|%%|%ct448%|%448%|%1929984M%|%0.00M%|%None%|%CANCELLED by 18362%|%2024-08-25T22:44:35%|%00:00:00%|%Partition_Limit%|%00:00:00%|%00:00:00%|%
448%|%0%|%0%|%2024-08-26T04:36:25%|%0:0%|%StartRecieved%|%example%|%100783%|%sbatch%|%448%|%4%|%None assigned%|%%|%ct448%|%448%|%1929984M%|%0.00M%|%None%|%CANCELLED by 18362%|%2024-08-25T22:44:39%|%00:00:00%|%Partition_Limit%|%00:00:00%|%00:00:00%|%
448%|%0%|%0%|%2024-08-26T04:36:27%|%0:0%|%StartRecieved%|%example%|%100784%|%sbatch%|%448%|%4%|%None assigned%|%%|%ct448%|%448%|%1929984M%|%0.00M%|%None%|%CANCELLED by 18362%|%2024-08-25T22:44:51%|%00:00:00%|%Partition_Limit%|%00:00:00%|%00:00:00%|%
144%|%1%|%432%|%2024-08-25T23:14:49%|%3:0%|%SchedBackfill,StartRecieved%|%example%|%100785%|%job-ARM%|%144%|%1%|%ncpn37%|%%|%arm144%|%144%|%223776M%|%0.00M%|%2024-08-25T23:14:46%|%FAILED%|%2024-08-25T22:44:55%|%00:00.164%|%2880%|%00:00.276%|%00:00.111%|%
144%|%1%|%432%|%2024-08-25T23:14:49%|%3:0%|%%|%%|%100785.batch%|%batch%|%144%|%1%|%ncpn37%|%1%|%%|%144%|%%|%0.00M%|%2024-08-25T23:14:46%|%FAILED%|%2024-08-25T23:14:46%|%00:00.164%|%%|%00:00.275%|%00:00.111%|%
